result,time
"[41, 43, 32, 60]",1
"[42, 43, 35, 61]",2
"[35.61278533935547, 44.86161422729492, 40.74519348144531, 60.54802322387695]",3
"[45, 44, 36, 61]",4
"[48, 43, 36, 61]",5
"[38.43153381347656, 44.43654251098633, 45.51072311401367, 60.54463577270508]",6
"[50, 43, 41, 60]",7
"[41.88533401489258, 44.72792434692383, 46.876365661621094, 60.515472412109375]",8
"[43.050025939941406, 44.366127014160156, 49.190773010253906, 60.552703857421875]",9
"[43.71564483642578, 44.57579040527344, 49.32807540893555, 60.34990692138672]",10
"[53, 45, 44, 61]",11
"[56, 42, 47, 59]",12
"[48.04287338256836, 45.03756332397461, 54.11859130859375, 59.86101531982422]",13
"[60, 44, 51, 59]",14
"[51.067630767822266, 44.64731979370117, 57.11690139770508, 59.78202438354492]",15
"[60, 43, 52, 59]",16
"[65, 42, 54, 60]",17
"[65, 44, 55, 61]",18
"[64, 45, 55, 60]",19
"[65, 45, 58, 59]",20
"[58.61890411376953, 45.179603576660156, 64.16741943359375, 59.308837890625]",21
"[68, 44, 60, 59]",22
"[69, 44, 61, 58]",23
"[69, 46, 62, 59]",24
"[63.213623046875, 46.52277755737305, 68.72083282470703, 59.26168441772461]",25
